model,sampling,training_time,f1,precision,recall,roc_auc,model_object
Logistic Regression,SMOTE,1.090029239654541,0.9352989592370006,0.9909113064517799,0.8919933277731443,0.9471522727728029,"Pipeline(steps=[('sampling', SMOTE(random_state=42)),
                ('model', LogisticRegression(max_iter=1000, random_state=42))])"
Random Forest,SMOTEENN,10.511112213134766,0.9912207083324587,0.9916867511801343,0.9908256880733946,0.975369112727127,"Pipeline(steps=[('sampling', SMOTEENN(random_state=42)),
                ('model', RandomForestClassifier(random_state=42))])"
Gradient Boosting,TomekLinks,3.1899046897888184,0.9940406825753941,0.9939655389558414,0.9945788156797332,0.9652122523388825,"Pipeline(steps=[('sampling', TomekLinks()),
                ('model', GradientBoostingClassifier(random_state=42))])"
SVM,TomekLinks,1.3468286991119385,0.9927108230572458,0.99419598585047,0.994161801501251,0.9632189434461206,"Pipeline(steps=[('sampling', TomekLinks()),
                ('model', SVC(probability=True, random_state=42))])"
KNN,RandomUnderSampler,0.02203226089477539,0.9138588530027223,0.9886966646533676,0.8548790658882403,0.8958571228238875,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', KNeighborsClassifier())])"
Decision Tree,RandomUnderSampler,0.025264501571655273,0.9206991372504412,0.9907745325281547,0.8665554628857381,0.885489913256005,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', DecisionTreeClassifier(random_state=42))])"
XGBoost,SMOTEENN,0.8855211734771729,0.9883038960033502,0.9904698406804654,0.9866555462885738,0.9749383977402488,"Pipeline(steps=[('sampling', SMOTEENN(random_state=42)),
                ('model',
                 XGBClassifier(base_score=None, booster=None, callbacks=None,
                               colsample_bylevel=None, colsample_bynode=None,
                               colsample_bytree=None, device=None,
                               early_stopping_rounds=None,
                               enable_categorical=False, eval_metric=None,
                               feature_types=None, feature_weights=None,
                               gamma=None, grow_policy=None,
                               importance_type=None,
                               interaction_constraints=None, learning_rate=None,
                               max_bin=None, max_cat_threshold=None,
                               max_cat_to_onehot=None, max_delta_step=None,
                               max_depth=None, max_leaves=None,
                               min_child_weight=None, missing=nan,
                               monotone_constraints=None, multi_strategy=None,
                               n_estimators=None, n_jobs=None,
                               num_parallel_tree=None, ...))])"
CatBoost,SMOTEENN,42.1001091003418,0.98408990274848,0.9895021417820615,0.9799833194328608,0.9749183644850451,"Pipeline(steps=[('sampling', SMOTEENN(random_state=42)),
                ('model',
                 <catboost.core.CatBoostClassifier object at 0x0000020B0250BC10>)])"
AdaBoost,SMOTEENN,5.169374227523804,0.9717209956780156,0.9883757436673464,0.9582985821517932,0.9508984914958831,"Pipeline(steps=[('sampling', SMOTEENN(random_state=42)),
                ('model', AdaBoostClassifier(random_state=42))])"
Extra Trees,ADASYN,1.2893867492675781,0.9945819695684781,0.9945048625988157,0.9949958298582152,0.9793757637678546,"Pipeline(steps=[('sampling', ADASYN(random_state=42)),
                ('model', ExtraTreesClassifier(random_state=42))])"
Bagging,RandomUnderSampler,0.06937456130981445,0.9168292373819389,0.9917578374135307,0.859883236030025,0.9320972814872689,"Pipeline(steps=[('sampling', RandomUnderSampler(random_state=42)),
                ('model', BaggingClassifier(random_state=42))])"
Hist Gradient Boosting,TomekLinks,4.091325998306274,0.994957500640718,0.9950068499476632,0.9954128440366973,0.9735561031311979,"Pipeline(steps=[('sampling', TomekLinks()),
                ('model', HistGradientBoostingClassifier(random_state=42))])"
